feature,importance
waiting_days,0.4603066391954602
age,0.4062906026047512
appointment_weekday,0.06779373440958769
sms_received,0.022115149954787645
hypertension,0.01029798022350077
handicap,0.009192882234969835
diabetes,0.008854986688003873
scholarship,0.008445605587317247
alcoholism,0.006702419101621451
